question,n_sessions,share_sessions,median_position,position_iqr
how easy is it for you to get a good night's sleep,32,0.1693121693121693,0.6449947312961012,0.09880517287383439
how are you at controlling your temper,32,0.1693121693121693,0.3355855855855856,0.11722693765604214
ellie dec what would you say are some of your best qualities,31,0.164021164021164,0.8833333333333333,0.12771115552594559
tell me more about that,31,0.164021164021164,0.5550043140638481,0.4421836023666687
why seek help what got you to seek help,31,0.164021164021164,0.7213114754098361,0.07022152845460428
adapted la how easy was it for you to get used to living in l a,30,0.15873015873015872,0.14941653982749872,0.04344704201337607
study what did you study at school,30,0.15873015873015872,0.26666666666666666,0.0856750659169968
why la why did you move to l a,30,0.15873015873015872,0.12731481481481483,0.041317659923455444
when diagnosed how long ago were you diagnosed,30,0.15873015873015872,0.7049180327868853,0.07261904761904758
mhm mhm dont like la what are some things you don't really like about l a,30,0.15873015873015872,0.10582306830907054,0.07673483923483923
therapy going do you still go to therapy now,30,0.15873015873015872,0.7482394366197183,0.05674342105263164
give example can you give me an example of that,29,0.15343915343915343,0.5783972125435539,0.44646666062418805
appreciate open thanks for sharing your thoughts with me,29,0.15343915343915343,0.9821428571428571,0.005681818181818232
what are some things that make you really mad,29,0.15343915343915343,0.3225395206527282,0.12972034379753333
when was the last time you argued with someone and what was it about,29,0.15343915343915343,0.3333333333333333,0.17724867724867727
nice nice,29,0.15343915343915343,0.2829566854990584,0.5736676481413323
landed trouble has that gotten you in trouble,29,0.15343915343915343,0.4375,0.11691456243514353
okay confirm okay hard decisionb tell me about the hardest decision you've ever had to make,29,0.15343915343915343,0.5,0.11004667157946452
what do you do now,29,0.15343915343915343,0.19672131147540983,0.13524720893141945
how long ago were you diagnosed,28,0.14814814814814814,0.5416782439566546,0.09371802228608145
symptoms cope how do you cope with them,28,0.14814814814814814,0.6195175438596492,0.13613981587795443
wow wow,28,0.14814814814814814,0.32941176470588235,0.4444444444444445
how have you been feeling lately,28,0.14814814814814814,0.639344262295082,0.152991452991453
who's someone that's been a positive influence in your life,27,0.14285714285714285,0.775928052047455,0.4904295021511707
have you noticed any changes in your behavior or thoughts lately,27,0.14285714285714285,0.6307692307692307,0.09733505648438334
see mean i see what you mean,27,0.14285714285714285,0.24489795918367346,0.3225695637238063
thats good that's good,26,0.13756613756613756,0.44193648816936487,0.4695969602928305
what do you enjoy about traveling,26,0.13756613756613756,0.23153153153153155,0.33031832340490536
feelguilty what's something you feel guilty about,26,0.13756613756613756,0.463768115942029,0.10867031709709052
thats good that's good last argument when was the last time you argued with someone and what was it about,26,0.13756613756613756,0.36851851851851847,0.11218924403855912
mind whatever comes to your mind,26,0.13756613756613756,0.6515151515151515,0.4646464646464646
been hard that sounds really hard,26,0.13756613756613756,0.5625,0.20981115925747607
how did you feel in that moment,26,0.13756613756613756,0.5357142857142857,0.3833290121856366
okay confirm okay situation handled tell me about a situation that you wish you had handled differently,26,0.13756613756613756,0.4444444444444444,0.08949753949753947
what would you say are some of your best qualities,26,0.13756613756613756,0.7656716417910447,0.20976815910768953
okay confirm okay easy sleep how easy is it for you to get a good night's sleep,26,0.13756613756613756,0.6201923076923077,0.09720967438358741
what got you to seek help,26,0.13756613756613756,0.5747885835095138,0.07760464277627277
that sucks that sucks,25,0.13227513227513227,0.46,0.23523809523809525
really really like about la what are some things you really like about l a,25,0.13227513227513227,0.058823529411764705,0.01581920903954802
what are you most proud of in your life,25,0.13227513227513227,0.8837209302325582,0.1703128194643222
aw aw,25,0.13227513227513227,0.6296296296296297,0.3027586206896551
travel shoes i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,25,0.13227513227513227,0.17543859649122806,0.08376068376068374
can you give me an example of that,25,0.13227513227513227,0.7082051998881744,0.44798586231234117
mm mm,25,0.13227513227513227,0.5764705882352941,0.37924836601307194
okay confirm okay feelguilty what's something you feel guilty about,25,0.13227513227513227,0.40476190476190477,0.17435897435897435
have you ever served in the military,25,0.13227513227513227,0.5294117647058824,0.1053779069767442
really really when la when did you move to l a,24,0.12698412698412698,0.0531015037593985,0.011642979904812265
okay confirm okay ptsd diagnosed have you ever been diagnosed with p t s d,24,0.12698412698412698,0.7119336143308745,0.07269375022539593
okay confirm okay control temper how are you at controlling your temper,24,0.12698412698412698,0.4,0.06979683877387721
how hard is that,24,0.12698412698412698,0.7241379310344828,0.3947848761408083
when was the last time you felt really happy,24,0.12698412698412698,0.7861473880597014,0.23833896611060168
what do you do when you're annoyed,23,0.12169312169312169,0.3333333333333333,0.12776620887928924
okay confirm okay memory erase tell me about an event or something that you wish you could erase from your memory,23,0.12169312169312169,0.5416666666666666,0.1368330118932819
asked everything okay i think i have asked everything i need to,23,0.12169312169312169,0.9642857142857143,0.012090706632960191
trigger are they triggered by something,22,0.1164021164021164,0.6076388888888888,0.060395693299674647
what are some things you really like about l a,22,0.1164021164021164,0.079002079002079,0.05757949359223648
that sounds really hard,22,0.1164021164021164,0.5911307174367308,0.25539712153518124
therapy useful do you feel like therapy is useful,22,0.1164021164021164,0.7777777777777778,0.05864533265874028
okay confirm okay family relationship tell me about your relationship with your family,22,0.1164021164021164,0.5162686567164179,0.20577469978307583
i'd love to hear about one of your trips,22,0.1164021164021164,0.25,0.3325840689365279
okay confirm okay relax fishtank sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,22,0.1164021164021164,0.3666002986560478,0.11362298082278982
good hear that's so good to hear,22,0.1164021164021164,0.6164383561643836,0.501984126984127
can you tell me about that,22,0.1164021164021164,0.6,0.41199276298785215
do you consider yourself an introvert,21,0.1111111111111111,0.2552440500201694,0.12890364216304426
that sucks,21,0.1111111111111111,0.4379368977895333,0.36185430821930703
what's one of your most memorable experiences,21,0.1111111111111111,0.5614035087719298,0.35908553409538824
how close are you to your family,21,0.1111111111111111,0.423728813559322,0.12674543501611168
when was the last time that happened,21,0.1111111111111111,0.4897959183673469,0.4817404083346455
okay confirm okay study what did you study at school,21,0.1111111111111111,0.23076923076923078,0.09924812030075186
are you still working in that,21,0.1111111111111111,0.21052631578947367,0.10283430232558138
sounds interesting that sounds interesting hard decision how did you decide to do that,20,0.10582010582010581,0.231604609929078,0.0961270698112803
what'd you study at school,20,0.10582010582010581,0.19444444444444445,0.0995639534883721
do you still go to therapy now,20,0.10582010582010581,0.6033459895586142,0.06850623715730209
is there anything you regret,19,0.10052910052910052,0.8513513513513513,0.14967117877137814
ideal weekendc tell me how you spend your ideal weekend,19,0.10052910052910052,0.8604651162790697,0.11044128285507582
bouts symptoms when was the last time that happened,19,0.10052910052910052,0.7575757575757576,0.3938366960907944
okay confirm okay shyoutgoing do you consider yourself more shy or outgoing,19,0.10052910052910052,0.28,0.10959027230737733
are they triggered by something,18,0.09523809523809523,0.649862608328049,0.11911669955885762
whatever comes to your mind,18,0.09523809523809523,0.47791353383458646,0.37700381687085954
really why'd you move to l a,18,0.09523809523809523,0.0532015065913371,0.013089533417402266
how would your best friend describe you,18,0.09523809523809523,0.698005698005698,0.2919078235211956
avoid could you have done anything to avoid it,18,0.09523809523809523,0.4782608695652174,0.16818715875319656
do you travel a lot,18,0.09523809523809523,0.23255813953488372,0.3121460467276095
i'm sorry to hear that,18,0.09523809523809523,0.49691358024691357,0.3048670333862964
therapy changes what sort of changes have you noticed since you've been going to therapy,18,0.09523809523809523,0.8035087719298246,0.0673580645988866
okay confirm okay ellie dec tell me about something you did recently that you really enjoyed,17,0.08994708994708994,0.9285714285714286,0.06763285024154597
cool cool,17,0.08994708994708994,0.2959770114942529,0.647224991691592
okay confirm okay feel lately how have you been feeling lately,17,0.08994708994708994,0.6410256410256411,0.08201058201058209
okay confirm okay regret is there anything you regret,17,0.08994708994708994,0.8793103448275862,0.04999999999999993
parent differences what are some ways that you're different as a parent than your parents,17,0.08994708994708994,0.5111111111111111,0.16981875492513793
mhm mhm ellie dec what are you most proud of in your life,16,0.08465608465608465,0.9519157088122605,0.03236250719193157
what are some things you don't really like about l a,16,0.08465608465608465,0.11963434022257552,0.05931407094197794
okay confirm okay ellie dec what are you most proud of in your life,16,0.08465608465608465,0.9548233695652174,0.02695079961658764
that sounds like a great situation,16,0.08465608465608465,0.49702380952380953,0.42649150603924973
okay when was the last time you felt really happy,16,0.08465608465608465,0.8135593220338984,0.13258842504462232
right right,16,0.08465608465608465,0.6545454545454545,0.2353416797078769
great situation that sounds like a great situation,16,0.08465608465608465,0.3333333333333333,0.5701754385964912
how close are you to them,16,0.08465608465608465,0.49056603773584906,0.3682266009852217
how do you cope with them,15,0.07936507936507936,0.6943964026288482,0.14464878026103234
that's so good to hear,15,0.07936507936507936,0.6153846153846154,0.36785332048248753
family roleb how close are you to your family,15,0.07936507936507936,0.5,0.10777777777777775
easy parent do you find it easy to be a parent,15,0.07936507936507936,0.46774193548387094,0.257290611279973
okay do you travel a lot,15,0.07936507936507936,0.2328767123287671,0.2644964474107354
understand i understand,15,0.07936507936507936,0.5555555555555556,0.2990136330805344
asked everything okay i think i have asked everything i need to appreciate open thanks for sharing your thoughts with me bye goodbye,15,0.07936507936507936,1.0,0.0
parent hardest what's the hardest thing about being a parent,15,0.07936507936507936,0.4365079365079365,0.1777725087795477
thanks for sharing your thoughts with me,14,0.07407407407407407,0.9838331160365059,0.00443319495043637
what made you decide to do that,14,0.07407407407407407,0.7352941176470589,0.48782343987823434
what do you do to relax,14,0.07407407407407407,0.2558139534883721,0.2522223501272655
could you have done anything to avoid it,14,0.07407407407407407,0.775,0.25729537552273185
im sorry i'm sorry,14,0.07407407407407407,0.4586363636363636,0.246090973702914
how did you decide to do that,14,0.07407407407407407,0.2637019230769231,0.6266239456056671
how do you know them,14,0.07407407407407407,0.4657534246575342,0.45487860742098035
why did you stop,14,0.07407407407407407,0.6224489795918368,0.09788300789638882
okay is there anything you regret,14,0.07407407407407407,0.8451632225217132,0.09561882171801839
tell me about something you did recently that you really enjoyed,14,0.07407407407407407,0.8567031463748289,0.13224935157237927
parent best what's the best thing about being a parent,14,0.07407407407407407,0.4689195298372514,0.21401190252121927
how easy was it for you to get used to living in l a,14,0.07407407407407407,0.10960960960960961,0.039153461997898764
stop going why did you stop,13,0.06878306878306878,0.7368421052631579,0.07236842105263153
what sort of changes have you noticed since you've been going to therapy,13,0.06878306878306878,0.6744186046511628,0.10616438356164382
let's come back to that later,13,0.06878306878306878,0.5074626865671642,0.5287545579587233
what's the hardest thing about being a parent,13,0.06878306878306878,0.4125615763546798,0.38400422161962283
yes yes,13,0.06878306878306878,0.6472905227978039,0.40250740554437736
okay confirm okay self change what are some things you wish you could change about yourself,13,0.06878306878306878,0.8431372549019608,0.0772693173293324
sorry hear i'm sorry to hear that,13,0.06878306878306878,0.615058670143416,0.24935143787602815
okay how would your best friend describe you,13,0.06878306878306878,0.7702702702702703,0.20507053772234707
what were your symptoms,12,0.06349206349206349,0.6389961389961389,0.09107082283388257
what's the best thing about being a parent,12,0.06349206349206349,0.4292794510102935,0.4140944704010523
okay who's someone that's been a positive influence in your life,12,0.06349206349206349,0.8033234126984127,0.4417847042916808
what do you think of today's kids,12,0.06349206349206349,0.421875,0.12357538261152717
when'd you move to l a,12,0.06349206349206349,0.08651162790697675,0.03825458874068734
long time that's a long time,12,0.06349206349206349,0.08908730158730159,0.020335487599831864
oh no oh no,12,0.06349206349206349,0.5791998367013675,0.37792411836529477
symptoms what what were your symptoms,12,0.06349206349206349,0.7623931623931623,0.10312144329262662
mhm what are some things you don't really like about l a,12,0.06349206349206349,0.11066433566433567,0.061847564590861506
nice nice memorableb what's one of your most memorable experiences,12,0.06349206349206349,0.23885918003565063,0.07707799145299146
where originally where are you from originally,12,0.06349206349206349,0.04951298701298701,0.013200473085743784
do you feel that way often,11,0.0582010582010582,0.5756316489361701,0.2177944298785786
aw,11,0.0582010582010582,0.35714285714285715,0.4352576084926646
do you feel like therapy's useful,11,0.0582010582010582,0.6511627906976745,0.1264034415197206
what are some things that usually put you in a good mood,11,0.0582010582010582,0.8181818181818182,0.2286635611024701
okay what'd you study at school,11,0.0582010582010582,0.18,0.2031238125041912
that's good when was the last time you argued with someone and what was it about,11,0.0582010582010582,0.32786885245901637,0.06345802231647912
okay when was the last time you argued with someone and what was it about,11,0.0582010582010582,0.40540540540540543,0.13394727487399544
okay what's one of your most memorable experiences,11,0.0582010582010582,0.5217391304347826,0.506247409033357
do you feel down,11,0.0582010582010582,0.6206859361518551,0.14343757510213895
okay what are some things that make you really mad,11,0.0582010582010582,0.273972602739726,0.10790307083285294
mhm mhm self change what are some things you wish you could change about yourself,11,0.0582010582010582,0.8545454545454545,0.03923411469851101
really what are some things you really like about l a,10,0.05291005291005291,0.05137587822014052,0.010968642734342539
where are you from originally,10,0.05291005291005291,0.05718954248366013,0.019789047768698942
okay confirm okay ideal weekendc tell me how you spend your ideal weekend,10,0.05291005291005291,0.8759398496240601,0.09434656629770366
sounds interesting that sounds interesting,10,0.05291005291005291,0.2883838383838384,0.057208088321464734
still doing x are you still doing that,10,0.05291005291005291,0.18486352357320102,0.04077582941978486
yeah downer yeah hard decisionb tell me about the hardest decision you've ever had to make,10,0.05291005291005291,0.5555001661681622,0.09538365209471766
makes sense that makes sense,10,0.05291005291005291,0.48200312989045385,0.28516816133895223
okay confirm okay happy lasttime tell me about the last time you felt really happy,10,0.05291005291005291,0.75,0.11060437513306365
okay have you ever served in the military,10,0.05291005291005291,0.4763412816691505,0.07179487179487182
uh huh uh huh self change what are some things you wish you could change about yourself,10,0.05291005291005291,0.8534621578099839,0.05119827690814227
more tell me more about that,10,0.05291005291005291,0.6428571428571429,0.28453408110440037
why'd you move to l a,10,0.05291005291005291,0.07415021929824561,0.022232110670511895
uh huh uh huh control temper how are you at controlling your temper,10,0.05291005291005291,0.36742424242424243,0.09649470899470897
okay what are some things that usually put you in a good mood,9,0.047619047619047616,0.8936170212765957,0.1674107142857143
okay confirm okay influence positive who's someone that's been a positive influence in your life,9,0.047619047619047616,0.54,0.15492424242424246
yeah yeah dont like la what are some things you don't really like about l a,9,0.047619047619047616,0.17857142857142858,0.05524168236032645
thats good that's good feel lately how have you been feeling lately,9,0.047619047619047616,0.6712328767123288,0.059288537549407105
did you think you had a problem before you found out,9,0.047619047619047616,0.6216216216216216,0.04584221748400863
okay i think i've asked everything i need to thanks for sharing your thoughts with me,9,0.047619047619047616,0.9864864864864865,0.005808950086058529
okay what are you most proud of in your life,9,0.047619047619047616,0.7972972972972973,0.1808792372881356
thats good that's good like about la what are some things you really like about l a,9,0.047619047619047616,0.16393442622950818,0.045238095238095244
has that gotten you in trouble,9,0.047619047619047616,0.4371184371184371,0.28490758648899805
do you find it easy to be a parent,9,0.047619047619047616,0.3620689655172414,0.09761699684180308
job virtually i love my job you could almost say it's virtually made for me what's your dream job,9,0.047619047619047616,0.2962962962962963,0.06547619047619047
hmm downer hmm,9,0.047619047619047616,0.5357142857142857,0.16440222163681067
great thanks i'm great thanks where originally where are you from originally,9,0.047619047619047616,0.03389830508474576,0.012698412698412702
yeah yeah travel shoes i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,9,0.047619047619047616,0.15555555555555556,0.10301369863013699
okay confirm okay advice back what advice would you give to yourself ten or twenty years ago,9,0.047619047619047616,0.9111111111111111,0.05769230769230771
yeah downer yeah been hard that sounds really hard,8,0.042328042328042326,0.5136363636363637,0.11956300813008125
are you happy you did that,8,0.042328042328042326,0.4166666666666667,0.4107722258273849
thats great that's great asked everything okay i think i have asked everything i need to appreciate open thanks for sharing your thoughts with me,8,0.042328042328042326,0.9789450354609929,0.002089495218377091
i'm sorry,8,0.042328042328042326,0.46169772256728775,0.6038876608424306
mm mm ellie dec what are you most proud of in your life,8,0.042328042328042326,0.9544513457556936,0.016271735926908337
okay confirm okay bf describe how would your best friend describe you,8,0.042328042328042326,0.8848684210526316,0.05867536175104848
okay confirm okay ellie dec what would you say are some of your best qualities,8,0.042328042328042326,0.8900966183574879,0.06768910913647752
thats great that's great easy sleep how easy is it for you to get a good night's sleep,8,0.042328042328042326,0.587396351575456,0.07613945454695603
thats good that's good ptsd diagnosed have you ever been diagnosed with p t s d,8,0.042328042328042326,0.6964882943143813,0.12753321475732338
thats great that's great bf describe how would your best friend describe you,8,0.042328042328042326,0.7845673505798394,0.06382633220053957
okay confirm okay feelbadly tell me about a time when someone made you feel really badly about yourself,8,0.042328042328042326,0.8529014844804319,0.03824566772906679
yeah downer yeah situation handled tell me about a situation that you wish you had handled differently,8,0.042328042328042326,0.4814814814814815,0.0822649572649572
okay do you consider yourself an introvert,8,0.042328042328042326,0.3232133933033483,0.13829074605136832
yeah downer yeah advice back what advice would you give to yourself ten or twenty years ago,8,0.042328042328042326,0.898989898989899,0.08104783264581406
could you say a little more about that,8,0.042328042328042326,0.3673469387755102,0.22972972972972971
thats good that's good influence positive who's someone that's been a positive influence in your life,8,0.042328042328042326,0.5857699805068226,0.04257170704539126
cool cool control temper how are you at controlling your temper,8,0.042328042328042326,0.35185185185185186,0.09444547721109264
okay how close are you to your family,7,0.037037037037037035,0.34375,0.14497167443949466
see mean i see what you mean hard decisionb tell me about the hardest decision you've ever had to make,7,0.037037037037037035,0.5102040816326531,0.05801150603782179
what are some things you like to do for fun,7,0.037037037037037035,0.4367816091954023,0.14293330632863138
okay confirm okay travel shoes i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot,7,0.037037037037037035,0.20512820512820512,0.1061014457240872
mhm mhm control temper how are you at controlling your temper,7,0.037037037037037035,0.35,0.09626831501831501
mhm mhm relax fishtank sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax,7,0.037037037037037035,0.3333333333333333,0.11752535399923458
yeah that sucks,7,0.037037037037037035,0.3218390804597701,0.18411848716125032
that's great when was the last time you felt really happy,7,0.037037037037037035,0.9074074074074074,0.14162779932222336
very young you were very young weren't you,7,0.037037037037037035,0.4788732394366197,0.4656163080076124
there are always trade offs in life aren't there,7,0.037037037037037035,0.7761194029850746,0.1924999819346579
do you feel like therapy is useful,7,0.037037037037037035,0.6781609195402298,0.1207232893157264
okay how are you at controlling your temper,7,0.037037037037037035,0.23728813559322035,0.10609535904347223
i'd love to hear all about it,7,0.037037037037037035,0.8596491228070176,0.34495859495859493
okay i think i've asked everything i need to,7,0.037037037037037035,0.972972972972973,0.009152589858238858
feel down do you feel down,7,0.037037037037037035,0.6984126984126984,0.039989354327589655
that sounds interesting,7,0.037037037037037035,0.20454545454545456,0.3415532879818594
mhm mhm shyoutgoing do you consider yourself more shy or outgoing,7,0.037037037037037035,0.3333333333333333,0.09667549456281843
okay what do you do to relax,6,0.031746031746031744,0.3070175438596491,0.13536409516943043
is it uncomfortable for you to talk about this,6,0.031746031746031744,0.7139948167345428,0.31114893199041926
mhm mhm easy sleep how easy is it for you to get a good night's sleep,6,0.031746031746031744,0.6253968253968254,0.06354140532222718
okay what are some things you don't really like about l a,6,0.031746031746031744,0.08035714285714285,0.0228618645610522
mhm mhm travel trips i'd love to hear about one of your trips,6,0.031746031746031744,0.2133838383838384,0.0813422688422688
mhm mhm bf describe how would your best friend describe you,6,0.031746031746031744,0.8878942881500427,0.09658543516381468
yeah yeah shyoutgoing do you consider yourself more shy or outgoing,6,0.031746031746031744,0.3401360544217687,0.04627926752096184
that's a long time,6,0.031746031746031744,0.611056511056511,0.1664657754761676
okay what are some things you like to do for fun,6,0.031746031746031744,0.4327485380116959,0.37971238368457827
mhm mhm asked everything okay i think i have asked everything i need to appreciate open thanks for sharing your thoughts with me,6,0.031746031746031744,0.9790849673202614,0.008924271462971145
so how are you doing today,6,0.031746031746031744,0.027402402402402402,0.004804650751983174
thats great that's great ellie dec what are you most proud of in your life,6,0.031746031746031744,0.9715865751334859,0.01988126486292452
yeah downer yeah shyoutgoing do you consider yourself more shy or outgoing,6,0.031746031746031744,0.31101190476190477,0.12324991616364858
yeah how are you at controlling your temper,6,0.031746031746031744,0.2998055015282023,0.08833495415393161
is going to a therapist helping you,6,0.031746031746031744,0.5924146391331016,0.08211449539909987
ellie dec what are some things that usually put you in a good mood,6,0.031746031746031744,0.9443681318681318,0.03155186239953178
tell me about tell me about that,6,0.031746031746031744,0.5772800645682001,0.08754452113925937
mm mm influence positive who's someone that's been a positive influence in your life,6,0.031746031746031744,0.5619517543859649,0.13037616362334403
mhm mhm situation handled tell me about a situation that you wish you had handled differently,6,0.031746031746031744,0.41944444444444445,0.043905895691609964
okay i think i've asked everything i need to thanks for sharing your thoughts with me goodbye,6,0.031746031746031744,1.0,0.0
it can be tough to find a good job these days,6,0.031746031746031744,0.3349892588614393,0.3406334315349147
awesome awesome study what did you study at school,6,0.031746031746031744,0.25462962962962965,0.015472709551656944
yeah i see what you mean,6,0.031746031746031744,0.3955223880597015,0.33755735679709564
mhm mhm ptsd diagnosed have you ever been diagnosed with p t s d,6,0.031746031746031744,0.6682142857142856,0.12626407459535538
see mean i see what you mean study what did you study at school,6,0.031746031746031744,0.1553658536585366,0.07820531488896978
do you have roommates,6,0.031746031746031744,0.3742349169338385,0.28934117638212653
okay what advice would you give yourself ten or twenty years ago,6,0.031746031746031744,0.847326049453709,0.05186057579674597
thats great that's great study what did you study at school,6,0.031746031746031744,0.25146198830409355,0.07017543859649122
nice nice control temper how are you at controlling your temper,6,0.031746031746031744,0.38796296296296295,0.11245448712209394
how do you like your living situation,6,0.031746031746031744,0.45149253731343286,0.19694390913401522
therapist affect how has seeing a therapist affected you,6,0.031746031746031744,0.7817982456140351,0.03201754385964917
thats great that's great control temper how are you at controlling your temper,6,0.031746031746031744,0.42300194931773877,0.04891569200779733
cool cool hard decision how did you decide to do that,6,0.031746031746031744,0.21969696969696967,0.16937229437229437
