qid,n_speakers,speech_h,median_turn_s,share_speakers
military,54,0.011132222222222196,0.4399999999999977,0.2857142857142857
ideal_weekendc,49,0.19740583333333284,2.369999999999891,0.25925925925925924
ellie17dec2012_09,48,0.12099277777777787,1.5439999999999827,0.25396825396825395
more,48,0.28147527777777764,3.2100000000000364,0.25396825396825395
why_la,47,0.08012388888888888,2.5249999999999915,0.24867724867724866
trigger,46,0.1266911111111113,2.0,0.24338624338624337
mind,44,0.2436830555555553,2.009999999999991,0.2328042328042328
landed_trouble,44,0.10773111111111108,2.1999999999999886,0.2328042328042328
uh_huh,43,0.07187583333333362,1.2100000000000222,0.2275132275132275
easy_parent,42,0.10197638888888887,2.4400000000000546,0.2222222222222222
good_hear,41,0.010201388888888923,0.48500000000001364,0.21693121693121692
yeah3,40,0.15970861111111118,1.7200000000000273,0.21164021164021163
great_situation,40,0.03290055555555562,1.2299999999999898,0.21164021164021163
okay_confirm,40,0.029723333333333293,0.7700000000000955,0.21164021164021163
parent_hardest,39,0.15311472222222222,2.3400000000000034,0.20634920634920634
see_mean,39,0.022611666666666624,0.5949999999999989,0.20634920634920634
wild_laughter3,39,0.14588583333333313,2.339999999999918,0.20634920634920634
avoid,38,0.08715472222222224,1.835000000000008,0.20105820105820105
aw,38,0.082668611111111,2.099999999999966,0.20105820105820105
awesome,37,0.01025999999999999,0.4200000000000301,0.19576719576719576
parent_best,37,0.12203583333333329,2.865000000000009,0.19576719576719576
therapy_changes,36,0.1682588888888892,2.0790000000000077,0.19047619047619047
thats_great,35,0.015323888888888805,0.41499999999999204,0.18518518518518517
sorry_hear,35,0.028329722222222197,0.9549999999999983,0.18518518518518517
asked_everything,33,0.006661944444444587,0.4600000000000364,0.1746031746031746
yeah_downer,33,0.06820499999999985,1.5900000000000034,0.1746031746031746
therapy_useful,32,0.06285138888888887,1.9600000000000364,0.1693121693121693
do_fun,30,0.09321000000000004,1.7099999999999795,0.15873015873015872
nice,29,0.02320694444444444,0.7000000000000028,0.15343915343915343
stop_going,29,0.08242750000000013,2.6399999999999864,0.15343915343915343
how_know,28,0.06167583333333334,2.0949999999999704,0.14814814814814814
im_sorry,28,0.035369722222222254,1.3700000000000045,0.14814814814814814
wow,28,0.054256111111110984,2.0,0.14814814814814814
symptoms_what,27,0.12046805555555565,1.9099999999999682,0.14285714285714285
kids_elaborate,27,0.13369861111111125,2.2800000000000296,0.14285714285714285
mm,26,0.047346111111111214,1.25,0.13756613756613756
todays_kids,26,0.10829527777777792,2.7099999999999795,0.13756613756613756
thats_good,26,0.007872222222222175,0.4000000000000341,0.13756613756613756
feel_down,25,0.03371361111111117,0.8900000000000148,0.13227513227513227
parent_differences,23,0.150513888888889,2.9500000000000455,0.12169312169312169
suspect_problem,22,0.039768055555555626,1.8150000000000261,0.1164021164021164
how_close,21,0.02363222222222214,1.4549999999999983,0.1111111111111111
long_time,20,0.005741666666666632,0.5599999999999881,0.10582010582010581
yeah2,20,0.09530583333333315,2.365000000000066,0.10582010582010581
makes_sense,20,0.01998444444444448,1.089999999999975,0.10582010582010581
understand,20,0.05226722222222244,2.0050000000000523,0.10582010582010581
living_situation,19,0.02950555555555556,1.8250000000000028,0.10052910052910052
cool3,19,0.009277500000000067,0.4899999999999949,0.10052910052910052
still_doing_x,19,0.021949166666666648,1.4599999999999795,0.10052910052910052
sounds_interesting,19,0.012286111111111097,0.8099999999999881,0.10052910052910052
good_job,17,0.016231111111111092,0.8949999999999818,0.08994708994708994
back_later,17,0.00496944444444446,0.5049999999999955,0.08994708994708994
right2,17,0.08823694444444444,2.920000000000016,0.08994708994708994
therapist_affect,16,0.06284305555555551,2.2700000000000387,0.08465608465608465
oh_no,14,0.04622499999999993,2.2899999999999636,0.07407407407407407
uncomfortable_talkv,13,0.0067494444444444295,0.6599999999999682,0.06878306878306878
very_young,13,0.005541666666666691,0.6599999999999682,0.06878306878306878
trade_offs,13,0.010361666666666705,1.2000000000000455,0.06878306878306878
yes,13,0.09664833333333363,2.3700000000000045,0.06878306878306878
tell_me_about,13,0.048743333333333326,2.2900000000000205,0.06878306878306878
therapist_useful,12,0.02356777777777776,2.5609999999999786,0.06349206349206349
job_virtually,12,0.05778972222222226,2.5700000000000216,0.06349206349206349
wild_laughter5,12,0.037147222222222234,2.7100000000000364,0.06349206349206349
roommates,11,0.002755833333333327,0.6099999999999994,0.0582010582010582
disturbing_thoughts,10,0.0055222222222222365,0.7800000000000011,0.05291005291005291
love_hear,10,0.025063888888888927,1.6549999999999727,0.05291005291005291
elaborate,10,0.03411388888888893,1.990000000000009,0.05291005291005291
hmm_downer,9,0.012874722222222204,1.605000000000004,0.047619047619047616
argument_about,9,0.025208333333333326,2.4699999999999704,0.047619047619047616
talk_later,8,0.002116111111111102,0.5249999999999915,0.042328042328042326
too_hard,8,0.03755749999999995,2.2100000000000364,0.042328042328042326
where_live,7,0.003670555555555561,1.605000000000004,0.037037037037037035
effectb,7,0.03230416666666658,2.280000000000001,0.037037037037037035
after,7,0.028168888888888955,2.5599999999999454,0.037037037037037035
isee_downer,6,0.005494444444444421,0.8599999999999,0.031746031746031744
old,6,0.007779166666666657,1.080000000000041,0.031746031746031744
combat,5,0.0028483333333332757,1.5149999999998727,0.026455026455026454
oh_my_gosh,5,0.020919722222222138,2.389999999999958,0.026455026455026454
ellie17dec2012_06,5,0.03811083333333326,2.4149999999999636,0.026455026455026454
what_do_when_annoyed,5,0.004800000000000024,1.3850000000000051,0.026455026455026454
ellie17dec2012_02,5,0.005994444444444484,1.25,0.026455026455026454
civilian_life,4,0.015830555555555622,2.3699999999999477,0.021164021164021163
downer,4,0.0006749999999999862,0.3749999999999716,0.021164021164021163
tell_me_morev2,4,0.030155555555555557,2.6750000000000114,0.021164021164021163
why_enlist,3,0.004272222222222253,1.8800000000001091,0.015873015873015872
me_too,3,0.0010972222222222071,0.6499999999999773,0.015873015873015872
ellie17dec2012_03,3,0.0020611111111110522,0.5799999999999841,0.015873015873015872
uh_oh,3,0.017528611111111335,4.080000000000041,0.015873015873015872
great_thanks,3,0.0004958333333333581,0.41000000000008185,0.015873015873015872
hmm1,3,0.009851388888888866,2.3375000000000057,0.015873015873015872
name_ellie,3,0.000972222222222238,1.150000000000091,0.015873015873015872
thank_you,2,0.0007991666666666535,1.4384999999999764,0.010582010582010581
wild_laughter7big,2,0.00905277777777785,1.2099999999999227,0.010582010582010581
hmmb,2,0.011843611111111095,2.2200000000000273,0.010582010582010581
ellie17dec2012_04,1,8.055555555556123e-05,0.29000000000002046,0.005291005291005291
awb,1,0.0010527777777777677,1.8949999999999818,0.005291005291005291
oh,1,0.0027583333333333353,1.5150000000000006,0.005291005291005291
from_la2,1,0.0008944444444444441,1.6099999999999994,0.005291005291005291
