n_sessions	slug	canonical_text	med_answer_words	is_question
29	stop_going	why did you stop	26	1
28	how_know	how do you know them	8	1
28	downer	okay	0	0
27	symptoms_what	what were your symptoms	38	1
27	kids_elaborate	tell me about your kids	24	1
26	todays_kids	what do you think of today's kids	16	1
26	long_time	that's a long time	1	0
25	feel_down	do you feel down	3	0
23	parent_differences	what are some ways that you're different as a parent than your parents	67	1
23	good_job	it can be tough to find a good job these days	1	0
22	wild_laughter5		0	0
22	suspect_problem	did you think you had a problem before you found out	9	1
22	great_thanks	i'm great thanks	0	0
22	back_later	let's come back to that later	1	0
21	oh_no	oh no	6	0
21	how_close	how close are you to them	5	1
20	still_doing_X	are you still doing that	5	1
19	living_situation	how do you like your living situation	13	1
16	therapist_affect	how has seeing a therapist affected you	30	1
15	trade_offs	there are always trade offs in life aren't there	3	0
14	Ellie17Dec2012_03	that's good	0	0
13	very_young	you were very young weren't you	3	0
13	uncomfortable_talkV	is it uncomfortable for you to talk about this	3	0
13	tell_me_about	tell me about that	27	1
12	therapist_useful	is going to a therapist helping you	10	0
12	job_virtually	i love my job you could almost say it's virtually made for me what's your dream job	41	1
11	talk_later	why don't we talk about that later	1	0
11	roommates	do you have roommates	2	0
10	uh_oh	uh oh	0	0
10	love_hear	i'd love to hear all about it	35	0
10	elaborate	could you say a little more about that	34	1
10	disturbing_thoughts	do you have disturbing thoughts	5	1
10	Ellie17Dec2012_02	uh huh	1	0
9	oh	oh	0	0
9	hmmB	hmm	0	0
9	argument_about	what was it about	29	1
8	too_hard	do you think that maybe you're being a little hard on yourself	36	1
7	where_live	where do you live	7	1
7	effectB	how did serving in the military change you	42	1
7	after	what did you do after the military	20	1
6	old	how old were you when you joined the military	13	1
6	oh_my_gosh	oh my gosh	5	0
5	combat	did you ever see combat	6	1
5	Ellie17Dec2012_04	that's great	0	0
4	tell_me_moreV2	can you tell me more about that	68	1
4	me_too	me too	2	0
4	hmm1	hmm	49	0
4	civilian_life	how easy was it for you to go back to civilian life	44	1
3	why_enlist	why'd you decide to enlist in the military	15	1
3	thank_you	thank you	3	0
3	name_ellie	i'm ellie	2	0
2	wild_laughter7BIG		79	0
2	um	um	0	0
1	okay_cheery	okay	0	0
1	from_LA2	i am from l a	14	0
1	awB	aw	12	0
