session	slug	answer_words
364	Ellie17Dec2012_02	56
364	yeah2	0
364	understand	40
364	ptsd_diagnosed	79
364	why_enlist	15
364	old	39
364	very_young	11
364	combat	6
364	tell_about_that	42
364	Ellie17Dec2012_06	36
364	why2	46
364	mhm	0
364	effectB	100
364	right2	34
364	after	89
364	civilian_life	80
364	mm	5
364	thats_good	0
364	easy_sleep	55
364	feel_lately	30
364	behavior_changes	15
364	okay_confirm	0
364	depression_diagnosed	45
364	therapy_useful	79
364	why_seek_help	63
364	understand	21
364	therapy_going	34
364	okay_confirm	1
364	therapist_affect	72
364	yeah2	35
364	uh_huh	63
364	uh_huh	0
364	happy_lasttime	124
364	thats_great	9
364	BF_describe	105
364	mhm	81
364	yeah3	4
364	landed_trouble	8
364	okay_confirm	6
364	regret	45
364	advice_back	61
364	Ellie17Dec2012_08	69
364	mhm	40
364	asked_everything	0
364	appreciate_open	5
364	bye	4
365	IntroV4Confirmation	1
365	okay_confirm	0
365	how_doingV	3
365	thats_good	0
365	where_originally	2
365	really	1
365	when_LA	3
365	often_backB	3
365	compares_LA	16
365	why_LA	7
365	adapted_LA	28
365	like_about_LA	28
365	uh_huh	0
365	dont_like_LA	3
365	understand	0
365	travel_shoes	5
365	why2	9
365	okay_confirm	0
365	study	2
365	sounds_interesting	0
365	hard_decision	23
365	cool3	0
365	still_doing_X	4
365	job_virtually	70
365	mhm	0
365	shyoutgoing	52
365	yeah3	0
365	relax_fishtank	22
365	nice	5
365	like_what	15
365	awesome	0
365	control_temper	27
365	last_argument	54
365	that_sucks	3
365	feelguilty	53
365	yeah3	0
365	been_hard	4
365	easy_parent	76
365	yeah_downer	0
365	parent_hardest	98
365	mhm	51
365	yeah_downer	0
365	sorry_hear	0
365	parent_best	79
365	mm	3
365	parent_differences	86
365	yeah2	55
365	see_mean	1
365	situation_handled	98
365	okay_confirm	0
365	military	1
365	ptsd_diagnosed	1
365	depression_diagnosed	1
365	easy_sleep	111
365	too_hard	42
365	behavior_changes	64
365	Ellie17Dec2012_03	0
365	happy_lasttime	76
365	uh_huh	0
365	Ellie17Dec2012_07	117
365	give_example	169
365	yeah_downer	0
365	Ellie17Dec2012_04	0
365	self_change	64
365	landed_trouble	41
365	yeah_downer	0
365	regret	13
365	why2	115
365	isee_downer	0
365	advice_back	115
365	right2	0
365	ideal_weekendC	82
365	uh_huh	0
365	BF_describe	79
365	Ellie17Dec2012_08	106
365	memorableB	81
365	nice	0
365	asked_everything	0
365	appreciate_open	3
365	bye	1
366	IntroV4Confirmation	1
366	okay_confirm	0
366	how_doingV	2
366	thats_good	2
366	great_thanks	0
366	where_originally	4
366	really	0
366	like_about_LA	28
366	see_mean	0
366	dont_like_LA	30
366	yeah3	0
366	travel_shoes	28
366	like_what	65
366	awesome	1
366	travel_changed	42
366	mhm	19
366	yeah3	1
366	travel_trips	44
366	wild_laughter3	107
366	wow	74
366	wild_laughter3	0
366	great_situation	1
366	study	17
366	hard_decision	74
366	cool3	0
366	still_doing_X	36
366	okay_confirm	1
366	job_virtually	17
366	really	86
366	aw	1
366	Ellie17Dec2012_04	1
366	shyoutgoing	49
366	okay_confirm	0
366	relax_fishtank	32
366	control_temper	85
366	landed_trouble	3
366	last_argument	108
366	describe_felt	106
366	uh_huh	1
366	family_relationship	45
366	okay_confirm	1
366	feelguilty	66
366	okay_confirm	1
366	easy_sleep	83
366	feel_lately	51
366	depression_diagnosed	2
366	behavior_changes	73
366	yeah_downer	2
366	regret	12
366	advice_back	23
366	memory_erase	41
366	tell_about_that	97
366	Ellie17Dec2012_06	322
366	wow	55
366	uh_huh	1
366	Ellie17Dec2012_07	100
366	cool3	1
366	self_change	48
366	mhm	54
366	mm	13
366	yeah3	0
366	BF_describe	33
366	why2	162
366	yeah2	21
366	wild_laughter3	19
366	thats_good	1
366	Ellie17Dec2012_08	73
366	asked_everything	1
366	appreciate_open	4
366	bye	5
367	IntroV4Confirmation	1
367	how_doingV	18
367	sorry_hear	0
367	where_originally	6
367	really	4
367	why_LA	32
367	adapted_LA	52
367	often_backB	76
367	difficult	83
367	yeah_downer	0
367	shyoutgoing	43
367	okay_confirm	0
367	relax_fishtank	73
367	mhm	0
367	bouts_symptoms	64
367	cool3	0
367	argument_about	75
367	mm	0
367	change_directions	90
367	uh_huh	0
367	difficult	69
367	yeah3	0
367	see_mean	0
367	control_temper	91
367	last_argument	79
367	wild_laughter5	26
367	okay_confirm	0
367	feelguilty	141
367	hmm_downer	0
367	avoid	154
367	yeah_downer	5
367	too_hard	131
367	yeah_downer	0
367	been_hard	72
367	Ellie17Dec2012_03	0
367	symptoms_cope	95
367	mhm	28
367	trigger	75
367	that_sucks	1
367	easy_sleep	157
367	mhm	0
367	sleep_affects	38
367	okay_confirm	0
367	when_diagnosed	116
367	describe_felt	155
367	yeah_downer	0
367	why_seek_help	137
367	downer	0
367	therapy_going	118
367	okay_confirm	4
367	wild_laughter3	0
367	yeah3	1
367	therapy_changes	155
367	right2	1
367	feel_lately	112
367	yeah3	0
367	good_job	1
367	happy_lasttime	199
367	uh_huh	0
367	Ellie17Dec2012_08	90
367	mhm	0
367	sounds_interesting	0
367	hard_decision	113
367	awesome	0
367	ideal_weekendC	37
367	asked_everything	0
367	appreciate_open	0
367	bye	2
368	IntroV4Confirmation	5
368	okay_confirm	0
368	how_doingV	8
368	thats_good	0
368	where_originally	7
368	cool3	1
368	like_about_LA	75
368	uh_huh	0
368	dont_like_LA	100
368	yeah3	0
368	travel_shoes	47
368	mhm	7
368	travel_changed	63
368	yeah3	0
368	study	40
368	still_working_on_X	66
368	yeah_downer	0
368	good_job	0
368	job_virtually	152
368	that_sucks	4
368	shyoutgoing	65
368	yeah3	0
368	see_mean	0
368	relax_fishtank	21
368	nice	98
368	okay_confirm	0
368	control_temper	161
368	mhm	0
368	last_argument	24
368	feelguilty	67
368	give_example	80
368	mhm	0
368	situation_handled	176
368	uh_huh	0
368	family_relationship	58
368	aw	106
368	good_hear	1
368	easy_sleep	109
368	thats_good	0
368	feel_lately	179
368	yeah_downer	0
368	symptoms_cope	173
368	right2	84
368	mhm	0
368	been_hard	98
368	yeah_downer	0
368	ptsd_diagnosed	11
368	depression_diagnosed	2
368	happy_lasttime	200
368	uh_huh	0
368	self_change	212
368	yeah_downer	0
368	see_mean	0
368	regret	92
368	right2	112
368	yeah3	0
368	advice_back	152
368	yeah2	17
368	okay_confirm	0
368	BF_describe	407
368	mm	0
368	Ellie17Dec2012_08	156
368	mhm	0
368	asked_everything	0
368	appreciate_open	24
368	thank_you	0
368	bye	8
368	yes	0
369	IntroV4Confirmation	2
369	okay_confirm	0
369	how_doingV	13
369	great_thanks	2
369	where_originally	22
369	really	7
369	often_backB	15
369	why2	53
369	yeah3	0
369	see_mean	2
369	like_about_LA	46
369	mhm	37
369	yeah2	0
369	dont_like_LA	54
369	wild_laughter3	20
369	thats_good	0
369	study	51
369	dream_job	81
369	mhm	7
369	shyoutgoing	91
369	uh_huh	1
369	relax_fishtank	56
369	thats_great	9
369	control_temper	45
369	mhm	25
369	yeah3	0
369	last_argument	78
369	okay_confirm	0
369	talk_later	7
369	feelguilty	59
369	Ellie17Dec2012_03	1
369	memory_erase	94
369	okay_confirm	2
369	travel_shoes	121
369	yeah3	25
369	nice	0
369	bouts_symptoms	64
369	aw	0
369	great_situation	53
369	uh_huh	1
369	easy_sleep	110
369	sleep_affects	75
369	uh_huh	28
369	okay_confirm	0
369	depression_diagnosed	2
369	ptsd_diagnosed	1
369	feel_lately	47
369	thats_great	30
369	right2	0
369	happy_lasttime	82
369	yeah3	1
369	Ellie17Dec2012_07	95
369	mhm	1
369	self_change	72
369	uh_huh	3
369	regret	63
369	advice_back	68
369	yeah3	0
369	Ellie17Dec2012_08	81
369	difficult	93
369	mhm	2
369	BF_describe	92
369	yeah3	1
369	ideal_weekendC	110
369	good_hear	1
369	asked_everything	1
369	appreciate_open	4
369	bye	1
370	IntroV4Confirmation	1
370	okay_confirm	0
370	how_doingV	10
370	thats_good	0
370	great_thanks	0
370	where_originally	14
370	really	1
370	like_about_LA	90
370	cool3	0
370	dont_like_LA	71
370	uh_huh	0
370	job_virtually	100
370	travel_changed	106
370	yeah3	20
370	travel_trips	110
370	yeah2	163
370	awesome	0
370	relax_fishtank	206
370	uh_huh	0
370	control_temper	84
370	last_argument	102
370	okay_confirm	0
370	feelguilty	177
370	see_mean	0
370	memory_erase	235
370	yeah3	0
370	that_sucks	17
370	okay_confirm	0
370	easy_sleep	127
370	mhm	20
370	yeah3	0
370	feel_lately	62
370	behavior_changes	45
370	okay_confirm	0
370	ptsd_diagnosed	1
370	depression_diagnosed	1
370	regret	129
370	advice_back	210
370	mm	0
370	makes_sense	0
370	feelbadly	100
370	bouts_symptoms	266
370	yeah_downer	0
370	memorableB	162
370	nice	0
370	happy_lasttime	55
370	aw	81
370	good_hear	3
370	BF_describe	44
370	wild_laughter3	56
370	mhm	0
370	Ellie17Dec2012_08	149
370	mhm	0
370	asked_everything	0
370	appreciate_open	8
370	bye	1
371	IntroV4Confirmation	1
371	okay_confirm	0
371	how_doingV	6
371	thats_good	0
371	where_originally	10
371	really	1
371	like_about_LA	21
371	dont_like_LA	5
371	see_mean	0
371	travel_shoes	24
371	travel_trips	33
371	wild_laughter3	0
371	travel_changed	16
371	cool3	0
371	study	11
371	hard_decision	36
371	still_doing_X	5
371	dream_job	17
371	okay_confirm	0
371	shyoutgoing	7
371	why2	10
371	relax_fishtank	6
371	cool3	0
371	control_temper	4
371	last_argument	19
371	tell_about_that	37
371	mhm	0
371	describe_felt	22
371	okay_confirm	0
371	family_relationship	38
371	uh_huh	0
371	feelguilty	16
371	avoid	20
371	mm	0
371	hard_decisionB	19
371	more	41
371	wow	0
371	happy_didthat	1
371	easy_sleep	3
371	why2	24
371	like_what	7
371	uncomfortable_talkV	2
371	sleep_affects	11
371	feel_down	2
371	mhm	2
371	behavior_changes	21
371	im_sorry	0
371	depression_diagnosed	2
371	ptsd_diagnosed	1
371	disturbing_thoughts	3
371	symptoms_cope	4
371	trigger	13
371	okay_confirm	0
371	happy_lasttime	28
371	Ellie17Dec2012_10	21
371	thats_good	0
371	Ellie17Dec2012_07	19
371	memory_erase	15
371	give_example	10
371	difficult	17
371	tell_about_that	26
371	yeah_downer	5
371	landed_trouble	13
371	downer	0
371	BF_describe	7
371	Ellie17Dec2012_08	8
371	okay_confirm	0
371	self_change	18
371	mhm	2
371	regret	14
371	advice_back	11
371	mm	0
371	Ellie17Dec2012_09	10
371	uh_huh	0
371	Ellie17Dec2012_08	9
371	okay_confirm	0
371	do_fun	21
371	thats_great	0
371	influence_positive	3
371	tell_about_that	19
371	been_hard	5
371	how_close	1
371	good_hear	0
371	asked_everything	0
371	appreciate_open	1
371	bye	1
372	IntroV4Confirmation	1
372	okay_confirm	0
372	how_doingV	5
372	thats_good	1
372	where_originally	3
372	really	1
372	like_about_LA	8
372	dont_like_LA	6
372	tell_about_that	32
372	yeah3	0
372	see_mean	0
372	travel_shoes	4
372	okay_confirm	0
372	study	2
372	hard_decision	33
372	mhm	9
372	thats_great	1
372	happy_didthat	2
372	still_doing_X	12
372	job_virtually	4
372	nice	0
372	tell_me_about	43
372	argument_about	30
372	aw	15
372	awesome	1
372	easy_parent	42
372	yeah_downer	1
372	symptoms_cope	4
372	yeah3	20
372	mm	0
372	parent_best	26
372	give_example	56
372	wild_laughter3	20
372	okay_confirm	0
372	parent_hardest	49
372	been_hard	1
372	too_hard	2
372	parent_differences	76
372	yeah2	4
372	uh_huh	1
372	influence_positive	3
372	influence_positive	6
372	yeah3	9
372	okay_confirm	1
372	relax_fishtank	37
372	uh_huh	4
372	control_temper	19
372	last_argument	178
372	that_sucks	2
372	situation_handled	98
372	oh_no	154
372	right2	0
372	makes_sense	1
372	describe_felt	131
372	yeah_downer	0
372	im_sorry	0
372	easy_sleep	85
372	hmm_downer	0
372	trigger	41
372	yeah_downer	82
372	yeah_downer	0
372	feel_lately	54
372	why_seek_help	98
372	understand	0
372	suspect_problem	14
372	symptoms_what	111
372	therapy_going	5
372	therapy_useful	60
372	Ellie17Dec2012_03	18
372	mhm	0
372	like_what	146
372	thats_good	0
372	right2	4
372	happy_lasttime	16
372	ideal_weekendC	54
372	uh_huh	11
372	Ellie17Dec2012_10	4
372	mind	42
372	awesome	0
372	bouts_symptoms	40
372	wow	17
372	mhm	0
372	Ellie17Dec2012_08	2
372	BF_describe	5
372	Ellie17Dec2012_07	33
372	asked_everything	0
372	appreciate_open	1
372	bye	5
372	yes	0
373	IntroV4Confirmation	1
373	okay_confirm	0
373	how_doingV	5
373	thats_good	0
373	where_originally	3
373	really	1
373	when_LA	5
373	wow	0
373	why_LA	43
373	cool3	1
373	often_backB	21
373	thats_good	1
373	compares_LA	63
373	uh_huh	0
373	like_about_LA	85
373	dont_like_LA	126
373	yeah3	0
373	that_sucks	0
373	study	11
373	still_working_on_X	10
373	hard_decision	84
373	thats_great	0
373	travel_shoes	58
373	awesome	1
373	travel_changed	139
373	mhm	0
373	travel_trips	122
373	good_hear	0
373	shyoutgoing	18
373	relax_fishtank	82
373	okay_confirm	1
373	wild_laughter3	4
373	control_temper	72
373	thats_good	0
373	last_argument	105
373	okay_confirm	0
373	situation_handled	179
373	yeah_downer	0
373	hard_decisionB	53
373	right2	104
373	change_directions	89
373	okay_confirm	0
373	easy_sleep	211
373	feel_lately	225
373	uh_huh	0
373	symptoms_cope	157
373	yeah3	0
373	depression_diagnosed	145
373	mhm	0
373	when_diagnosed	95
373	symptoms_what	104
373	therapy_going	138
373	therapy_useful	63
373	okay_confirm	0
373	memory_erase	192
373	yeah_downer	0
373	advice_back	175
373	right2	0
373	Ellie17Dec2012_07	212
373	uh_huh	1
373	happy_lasttime	47
373	aw	130
373	good_hear	0
373	BF_describe	147
373	mhm	0
373	asked_everything	0
373	appreciate_open	2
373	bye	1
374	IntroV4Confirmation	1
374	okay_confirm	0
374	how_doingV	2
374	thats_good	0
374	where_originally	2
374	really	1
374	when_LA	11
374	long_time	3
374	often_backB	10
374	compares_LA	54
374	mhm	0
374	why_LA	8
374	cool3	0
374	adapted_LA	95
374	uh_huh	0
374	study	1
374	hard_decision	84
374	thats_great	0
374	still_doing_X	39
374	dream_job	173
374	understand	0
374	good_job	1
374	travel_shoes	37
374	travel_changed	62
374	travel_trips	218
374	awesome	0
374	relax_fishtank	89
374	okay_confirm	0
374	control_temper	22
374	last_argument	16
374	describe_felt	19
374	that_sucks	1
374	family_relationship	82
374	thats_good	0
374	feelguilty	66
374	isee_downer	0
374	easy_sleep	19
374	why2	83
374	trigger	40
374	sleep_affects	21
374	understand	0
374	behavior_changes	4
374	depression_diagnosed	1
374	when_diagnosed	32
374	why_seek_help	21
374	symptoms_what	50
374	been_hard	1
374	therapy_going	1
374	therapy_useful	13
374	therapy_changes	100
374	okay_confirm	0
374	happy_lasttime	34
374	tell_about_that	99
374	aw	0
374	good_hear	0
374	BF_describe	24
374	okay_confirm	0
374	memory_erase	444
374	oh_no	116
374	yeah_downer	0
374	im_sorry	0
374	Ellie17Dec2012_07	28
374	thats_great	0
374	advice_back	51
374	mm	0
374	Ellie17Dec2012_08	21
374	asked_everything	0
374	appreciate_open	2
374	bye	1
375	IntroV4Confirmation	1
375	okay_confirm	0
375	how_doingV	6
375	thats_good	0
375	where_originally	3
375	really	7
375	from_LA2	14
375	cool3	0
375	like_about_LA	8
375	why2	23
375	see_mean	0
375	travel_shoes	5
375	travel_changed	5
375	travel_trips	28
375	nice	0
375	change_directions	7
375	study	1
375	still_doing_X	4
375	dream_job	17
375	why2	0
375	awesome	0
375	shyoutgoing	1
375	relax_fishtank	15
375	control_temper	1
375	thats_good	0
375	last_argument	20
375	describe_felt	8
375	family_relationship	21
375	give_example	23
375	that_sucks	0
375	feelguilty	6
375	avoid	4
375	memory_erase	24
375	tell_about_that	35
375	landed_trouble	11
375	influence_positive	9
375	mind	2
375	aw	0
375	how_know	19
375	thats_great	6
375	awesome	0
375	easy_sleep	15
375	sleep_affects	9
375	feel_lately	2
375	behavior_changes	1
375	like_what	38
375	difficult	13
375	okay_confirm	0
375	ptsd_diagnosed	1
375	depression_diagnosed	1
375	feel_down	8
375	happy_lasttime	17
375	like_what	10
375	okay_confirm	0
375	Ellie17Dec2012_08	4
375	mhm	0
375	BF_describe	3
375	self_change	9
375	feelbadly	8
375	Ellie17Dec2012_09	13
375	thats_good	0
375	memorableB	7
375	regret	1
375	advice_back	21
375	hard_decisionB	7
375	asked_everything	0
375	appreciate_open	0
375	bye	0
376	IntroV4Confirmation	1
376	Ellie17Dec2012_03	0
376	okay_confirm	0
376	how_doingV	7
376	where_originally	6
376	really	1
376	when_LA	22
376	often_backB	20
376	compares_LA	61
376	uh_huh	2
376	see_mean	1
376	adapted_LA	48
376	thats_good	0
376	like_about_LA	37
376	nice	0
376	travel_shoes	4
376	why2	41
376	okay_confirm	0
376	study	28
376	sorry_hear	3
376	job_virtually	41
376	mhm	1
376	shyoutgoing	57
376	relax_fishtank	31
376	control_temper	25
376	last_argument	51
376	yeah_downer	0
376	landed_trouble	62
376	okay_confirm	0
376	situation_handled	14
376	uncomfortable_talkV	7
376	im_sorry	2
376	hard_decisionB	20
376	okay_confirm	0
376	easy_sleep	35
376	yeah2	49
376	trigger	39
376	been_hard	29
376	uh_huh	0
376	sleep_affects	36
376	wild_laughter3	8
376	feel_lately	72
376	Ellie17Dec2012_03	0
376	Ellie17Dec2012_03	0
376	behavior_changes	44
376	isee_downer	0
376	depression_diagnosed	14
376	when_diagnosed	37
376	why_seek_help	52
376	therapist_useful	119
376	yeah3	1
376	understand	0
376	therapy_changes	77
376	okay_confirm	0
376	happy_lasttime	12
376	easy_parent	16
376	sorry_hear	1
376	Ellie17Dec2012_07	50
376	thats_great	0
376	regret	2
376	regret	81
376	right2	0
376	advice_back	47
376	self_change	62
376	uh_huh	0
376	Ellie17Dec2012_10	74
376	ideal_weekendC	68
376	wild_laughter3	1
376	Ellie17Dec2012_08	20
376	Ellie17Dec2012_09	51
376	asked_everything	1
376	appreciate_open	4
376	bye	1
377	IntroV4Confirmation	3
377	okay_confirm	0
377	okay_confirm	0
377	how_doingV	0
377	how_doingV	3
377	thats_good	0
377	thats_good	0
377	where_originally	0
377	where_originally	27
377	wow	1
377	when_LA	22
377	often_backB	0
377	often_backB	8
377	compares_LA	0
377	compares_LA	27
377	wild_laughter3	0
377	wild_laughter3	0
377	why_LA	0
377	why_LA	102
377	uh_huh	10
377	adapted_LA	0
377	adapted_LA	64
377	yeah3	0
377	yeah3	0
377	see_mean	0
377	travel_shoes	0
377	travel_shoes	37
377	travel_changed	26
377	travel_trips	0
377	travel_trips	66
377	memorableB	0
377	memorableB	110
377	awesome	0
377	awesome	1
377	study	23
377	still_working_on_X	0
377	still_working_on_X	72
377	yeah3	0
377	yeah3	0
377	change_directions	0
377	change_directions	10
377	back_later	0
377	back_later	1
377	job_virtually	35
377	okay_confirm	0
377	okay_confirm	0
377	family_relationship	92
377	thats_good	0
377	thats_good	0
377	describe_felt	0
377	describe_felt	63
377	mhm	0
377	shyoutgoing	2
377	relax_fishtank	0
377	relax_fishtank	115
377	uh_huh	2
377	control_temper	0
377	control_temper	15
377	last_argument	0
377	last_argument	31
377	tell_about_that	155
377	yeah_downer	0
377	situation_handled	247
377	uh_huh	0
377	hard_decisionB	0
377	hard_decisionB	131
377	change_directions	0
377	change_directions	124
377	great_situation	0
377	great_situation	1
377	easy_sleep	98
377	trigger	75
377	difficult	0
377	difficult	47
377	isee_downer	0
377	feel_lately	0
377	feel_lately	65
377	im_sorry	0
377	im_sorry	1
377	depression_diagnosed	6
377	when_diagnosed	0
377	when_diagnosed	18
377	why_seek_help	0
377	why_seek_help	3
377	feel_down	6
377	therapy_going	4
377	stop_going	0
377	stop_going	62
377	therapy_useful	0
377	therapy_useful	37
377	right2	82
377	yeah3	0
377	happy_lasttime	0
377	happy_lasttime	39
377	Ellie17Dec2012_07	29
377	regret	8
377	advice_back	5
377	ideal_weekendC	89
377	okay_confirm	0
377	okay_confirm	0
377	Ellie17Dec2012_08	73
377	thats_great	1
377	asked_everything	0
377	asked_everything	1
377	appreciate_open	0
377	appreciate_open	1
377	bye	0
377	bye	1
378	IntroV4Confirmation	1
378	okay_confirm	0
378	how_doingV	2
378	thats_good	0
378	where_originally	5
378	really	0
378	when_LA	4
378	long_time	1
378	often_backB	9
378	compares_LA	13
378	why_LA	29
378	okay_confirm	0
378	adapted_LA	39
378	mhm	0
378	study	2
378	sounds_interesting	0
378	hard_decision	34
378	still_working_on_X	1
378	why2	61
378	yeah_downer	0
378	good_job	1
378	dream_job	17
378	nice	0
378	difficult	31
378	see_mean	1
378	travel_shoes	10
378	travel_changed	21
378	uh_huh	0
378	travel_trips	12
378	wow	15
378	wild_laughter3	75
378	awesome	0
378	shyoutgoing	2
378	why2	48
378	okay_confirm	0
378	relax_fishtank	41
378	uh_huh	0
378	control_temper	15
378	last_argument	23
378	mm	0
378	okay_confirm	0
378	feelguilty	13
378	situation_handled	8
378	okay_confirm	0
378	mad_makeyou	38
378	that_sucks	1
378	hard_decisionB	86
378	yeah3	0
378	easy_sleep	6
378	thats_good	0
378	feel_lately	46
378	thats_good	0
378	ptsd_diagnosed	1
378	depression_diagnosed	1
378	happy_lasttime	30
378	Ellie17Dec2012_10	50
378	nice	0
378	BF_describe	13
378	regret	27
378	like_what	36
378	okay_confirm	0
378	advice_back	16
378	self_change	31
378	mhm	0
378	memory_erase	9
378	okay_confirm	0
378	ideal_weekendC	43
378	Ellie17Dec2012_08	75
378	thats_great	0
378	family_relationship	85
378	wild_laughter5	0
378	influence_positive	49
378	good_hear	0
378	how_close	26
378	Ellie17Dec2012_09	26
378	uh_huh	0
378	asked_everything	1
378	appreciate_open	1
378	bye	1
379	IntroV4Confirmation	1
379	okay_confirm	0
379	okay_confirm	0
379	how_doingV	0
379	how_doingV	14
379	thats_good	0
379	thats_good	0
379	where_originally	0
379	where_originally	45
379	cool3	0
379	cool3	13
379	like_about_LA	0
379	like_about_LA	53
379	yeah3	0
379	see_mean	2
379	travel_shoes	0
379	travel_shoes	70
379	mhm	0
379	mhm	1
379	travel_changed	52
379	yeah3	0
379	travel_trips	60
379	nice	1
379	memorableB	0
379	memorableB	44
379	mhm	0
379	study	0
379	study	19
379	thats_great	0
379	thats_great	1
379	hard_decision	118
379	yeah2	0
379	yeah2	27
379	uh_huh	1
379	job_virtually	37
379	okay_confirm	0
379	family_relationship	85
379	thats_good	0
379	thats_good	0
379	shyoutgoing	128
379	mhm	1
379	relax_fishtank	0
379	relax_fishtank	77
379	mm	0
379	mm	0
379	control_temper	0
379	control_temper	79
379	last_argument	0
379	last_argument	75
379	uh_huh	1
379	feelguilty	74
379	hard_decisionB	129
379	yeah_downer	0
379	been_hard	25
379	aw	48
379	downer	0
379	downer	0
379	BF_describe	88
379	mhm	2
379	easy_sleep	86
379	okay_confirm	0
379	okay_confirm	0
379	feel_lately	0
379	feel_lately	77
379	great_situation	0
379	great_situation	30
379	right2	0
379	ptsd_diagnosed	0
379	ptsd_diagnosed	4
379	depression_diagnosed	0
379	depression_diagnosed	1
379	feel_down	1
379	happy_lasttime	0
379	happy_lasttime	84
379	describe_felt	0
379	describe_felt	67
379	yeah3	0
379	regret	131
379	yeah3	0
379	yeah3	0
379	advice_back	0
379	advice_back	79
379	memory_erase	36
379	downer	0
379	downer	0
379	ideal_weekendC	64
379	self_change	75
379	mhm	0
379	feelbadly	90
379	okay_confirm	0
379	Ellie17Dec2012_07	47
379	thats_good	0
379	thats_good	0
379	Ellie17Dec2012_10	0
379	Ellie17Dec2012_10	96
379	awesome	0
379	awesome	5
379	argument_about	0
379	argument_about	40
379	Ellie17Dec2012_08	53
379	asked_everything	0
379	appreciate_open	2
379	bye	0
380	IntroV4Confirmation	1
380	okay_confirm	0
380	how_doingV	6
380	thats_good	1
380	where_originally	3
380	really	6
380	when_LA	5
380	wow	0
380	compares_LA	51
380	adapted_LA	32
380	okay_confirm	0
380	where_live	5
380	roommates	5
380	living_situation	56
380	oh_no	0
380	thats_good	0
380	travel_shoes	50
380	travel_changed	99
380	Ellie17Dec2012_02	1
380	see_mean	0
380	travel_trips	11
380	wild_laughter3	157
380	yeah2	0
380	memorableB	29
380	yes	5
380	back_later	6
380	study	1
380	hard_decision	243
380	hmm1	49
380	uh_huh	26
380	wild_laughter5	45
380	still_working_on_X	3
380	job_virtually	83
380	mm	12
380	okay_confirm	0
380	family_relationship	140
380	mhm	0
380	shyoutgoing	51
380	why2	54
380	okay_confirm	0
380	relax_fishtank	97
380	yeah3	0
380	control_temper	2
380	last_argument	54
380	uh_huh	54
380	yes	1
380	bouts_symptoms	15
380	uh_huh	87
380	why2	0
380	yes	215
380	mm	88
380	yeah2	70
380	right2	119
380	hmmB	128
380	yeah3	145
380	understand	5
380	memory_erase	75
380	hmmB	1
380	hard_decisionB	19
380	yeah3	89
380	mhm	164
380	isee_downer	0
380	difficult	10
380	yes	127
380	yeah_downer	0
380	that_sucks	1
380	easy_sleep	112
380	mm	0
380	sleep_affects	88
380	okay_confirm	2
380	behavior_changes	6
380	mind	140
380	Ellie17Dec2012_03	0
380	ptsd_diagnosed	3
380	depression_diagnosed	1
380	happy_lasttime	203
380	wow	26
380	uh_huh	7
380	makes_sense	0
380	Ellie17Dec2012_07	37
380	okay_confirm	0
380	self_change	54
380	um	0
380	feelbadly	170
380	been_hard	1
380	advice_back	112
380	mhm	79
380	asked_everything	2
380	appreciate_open	1
380	bye	2
381	IntroV4Confirmation	1
381	okay_confirm	0
381	how_doingV	1
381	thats_good	0
381	where_originally	3
